hashtag,tweet_id
ThingsDoneByMistake,8.362278918976512e+17
TheOlderWeGet,7.651989482398106e+17
Blacklivesmatter,7.766933029261476e+17
WakeUpAmerica,7.775946478750597e+17
BernieSanders,7.180400616490312e+17
My4WordNewYearsResolution,8.115808685736919e+17
TVLifeLessonsILearned,8.006559983357747e+17
My911Story,6.423626850703073e+17
teapartynews,6.747523977683968e+17
TrumpBecause,6.31862763459969e+17
debates,7.890078108308316e+17
Politics,7.562034178197668e+17
AfricanAmericans,7.962405608226447e+17
Hillary,7.962405608226447e+17
FEMININEAMERICA4TRUMP,7.772381191667753e+17
maga,7.772381191667753e+17
FL4Trump,7.772381191667753e+17
LGBT4Trump,7.772381191667753e+17
ConspiracySongs,8.567986211777208e+17
RealLifeMagicSpells,7.981670298282516e+17
BlackPantherSoLit,8.851194921662259e+17
RogueOne,8.11147938768425e+17
HowToConfuseAMillennial,7.7252958083396e+17
Politics,7.583162066338243e+17
TrumpsFavoriteHeadline,7.65928730120319e+17
news,6.145515525865677e+17
news,5.802958584631951e+17
RAPStationRadio,8.176495671057408e+17
EarthDaySongs,8.554139507494502e+17
pjnet,7.961473196285624e+17
breaking,7.798607831109059e+17
ArtKNB,8.45517886995288e+17
Politics,7.715169657393766e+17
MakeTVShowsAustralian,8.29281703936086e+17
RT,6.955699510007603e+17
God,8.382274255154381e+17
LesDeplorables,7.772222793737503e+17
Trump,7.772222793737503e+17
Fiverr,8.597745359518188e+17
NH,7.842343111594598e+17
ProblematicKidsShows,8.579625097010627e+17
Miami,7.693043273453036e+17
Fameviews,8.332921527383122e+17
crackup,7.768555464062403e+17
p2,8.528319314189107e+17
UnlikelyThingsHeardAtWalmart,7.832202261878579e+17
MichelleObama,7.78619917465686e+17
blackgirlsmagic,7.78619917465686e+17
HackingHillary,7.729266933003305e+17
ThingsYouCantIgnore,8.108492138064732e+17
sports,5.946354178334843e+17
IfICouldntLie,7.735281928964055e+17
ThingsYouCantIgnore,8.108559044847165e+17
Politics,7.86145284845736e+17
OffendEveryoneIn4Words,8.521090237552845e+17
Politics,5.909868045279232e+17
WakeUpAmerica,6.95610265900077e+17
IHaveARightToKnow,7.811439198201528e+17
DrunkBands,8.245744503309599e+17
Trump,7.815516194521825e+17
TrumpPence16,7.815516194521825e+17
debatenight,7.815516194521825e+17
Trump,7.841819010619187e+17
nowplaying,8.44576101573759e+17
MerkelMussBleiben,7.56086297110995e+17
AddASongRuinAMovie,8.06039644248961e+17
RenameMillionWomenMarch,8.220866757194875e+17
Islamophobic,7.607790004027187e+17
pets,8.107664950934979e+17
FightClub,5.648406708298998e+17
ItsRiskyTo,8.242751272191877e+17
RejectedDebateTopics,7.887613031585219e+17
WeedsIllegalBut,7.611308538166436e+17
hooks,8.973966501041111e+17
BeUnclassyIn4Words,7.857434590385644e+17
Democrat,7.816023142306243e+17
BasketOfDeplorables,7.760331758605435e+17
redeye,7.760331758605435e+17
ToDoListBeforeChristmas,8.032716361243976e+17
SachsenAnhalt,9.029128393875784e+17
GulfStatesTalks,5.984924414029783e+17
nowplaying,8.587545809513144e+17
AlternativeAcronymInterpretations,8.05797548510376e+17
CrookedHillary,7.892569481348424e+17
MyEmmyNominationWouldBe,7.778908390833111e+17
HillaryForPrison2016,8.037899032555028e+17
BlackPanthersPBS,6.999460974023844e+17
CivilSelects,8.355141860461732e+17
ThingsYouCantIgnore,8.10866048606081e+17
LastMinuteGifts2016,8.118726813731348e+17
Politics,7.835912391657185e+17
Bla,6.196215514160865e+17
ValentinesDayIn3Words,8.293579105515889e+17
Politics,7.768164593558282e+17
HipsterSchoolSuppliesList,7.608848948430889e+17
IWillAlwaysLove,8.220870905235661e+17
TrumpPence16,7.961340428108513e+17
ElectionDay,7.961340428108513e+17
Trump,7.961340428108513e+17
Deplorables,7.961340428108513e+17
TrumpForPresident,7.961340428108513e+17
TrumpTrain,7.961340428108513e+17
Gorsuch,8.442983852219351e+17
ThingsMoreTrustedThanHillary,7.805800013432136e+17
InHonorOf,7.373969724920504e+17
Staywoke,7.379963304092017e+17
teapartynews,6.586632194524488e+17
FishTV,7.788977492614636e+17
ReasonIAmNotPresident,6.434537684874322e+17
news,7.913254657680998e+17
AddABandToATVShow,8.260253162546381e+17
ValentinesDayIn3Words,8.29356515911934e+17
Miami,7.769183670223176e+17
TrumpRally,7.769183670223176e+17
birtherism,7.769183670223176e+17
WisconsinPrimary,8.067859557177262e+17
thoughtoftheday,8.027148965342126e+17
Guns4NY,6.728191231439053e+17
Decision2016,7.881700417997824e+17
WakeUpAmerica,6.955666310498181e+17
HonorForTheBrave,7.319620927695299e+17
YonceForAllOccasions,7.727351091495772e+17
NeverMyPresident,8.112375242324378e+17
Texas,6.225774552581407e+17
ThingsThatDisturbMe,7.931005688269619e+17
Frozen,5.542786767625912e+17
maga,7.771456408161444e+17
altrightmeans,7.688621501106135e+17
1,6.044211321759785e+17
MerkelMussBleiben,7.560838801180836e+17
Merkel,7.561088683426734e+17
Prayers4California,6.724453959732265e+17
Microphone,8.296971407630049e+17
CancelPlansIn5Words,7.999221532233236e+17
HillarysHealth,7.753974404511785e+17
maga,7.753974404511785e+17
BasketOfDeplorables,7.753974404511785e+17
OscarsSoWhite,7.041512633619169e+17
AlternativeAcronymInterpretations,8.057784136341463e+17
Politics,7.817909807101174e+17
RuinADinnerInOnePhrase,7.837042740102472e+17
HillaryClinton,7.63388210575659e+17
WassermanSchultz,7.63388210575659e+17
JeffSessions,8.479274946658017e+17
IfMyFriendsSawMeNow,8.20270189342294e+17
Patriot,8.243600467336929e+17
RuinADinnerInOnePhrase,7.836911713400914e+17
PodestaEmails26,7.938165118696161e+17
RiggedSystem,7.938165118696161e+17
maga,7.938165118696161e+17
acab,8.122472098236375e+17
POTUS,8.155800173590241e+17
millennials,6.806758206423818e+17
AddABandToATVShow,8.260395788218491e+17
FoxLDT,7.77092776609534e+17
Birther,7.772787501448151e+17
ifinditfunnyhow,7.810603837968548e+17
M,7.76041209785684e+17
Congress,8.443359029357322e+17
ThingsDoneByMistake,8.362350458619167e+17
Cleveland,7.611473984836116e+17
Politics,7.611473984836116e+17
Politics,7.681734826097418e+17
TopNews,7.688469298327142e+17
crookedcruz,6.952856934095503e+17
AddASongRuinAMovie,8.061345587479347e+17
Thursdaythoughts,7.856673661348209e+17
YOGA,7.856673661348209e+17
ClintonScandals,7.856673661348209e+17
education,8.136580431373476e+17
fitbit,8.484499303688684e+17
StarInTheMorning,8.347451195553833e+17
artist,8.834745099231068e+17
InHo,7.373964925294715e+17
HillaryForPrison2016,7.960776941444096e+17
Homeless,7.874636163165389e+17
Refugees,7.874636163165389e+17
imwithher,7.874636163165389e+17
ThingsYouCantIgnore,8.108621719199744e+17
WhatIWouldTellA15YearOldMe,8.20224374192173e+17
WomenForTrump,7.881065548095283e+17
2016In4Words,8.141275293720412e+17
resist,8.486631866813399e+17
HillaryClinton,7.936782991299789e+17
imwithher,7.936782991299789e+17
US,7.778334996047053e+17
RedneckAMovie,8.242218980620452e+17
FBI,8.836115355365253e+17
OffendEveryoneIn4Words,8.521209398820618e+17
IDontNeedACostumeBecause,7.912841461318287e+17
WeedCartoons,6.089149595279114e+17
maga,8.460985324403958e+17
MigrationIsBeautiful,8.530407128872591e+17
G20,8.840648038321766e+17
IHaveARightToKnow,7.811391187890995e+17
IGetDepressedWhen,7.710130551320207e+17
RejectedDebateTopics,7.887780260665139e+17
UnlikelyThingsHeardAtWalmart,7.832361406189732e+17
NeverHillary,7.331168623058493e+17
MentalIllnessIcebreakers,8.031662533471273e+17
imwithher,7.971873083993252e+17
hacked,8.209226155273093e+17
TrumpACandy,7.783164613162107e+17
ItsRiskyTo,8.24281126361514e+17
Trump,7.925151362086666e+17
Abortion,7.925151362086666e+17
TrumpBecause,6.318648005956772e+17
Politics,7.600659618230477e+17
MakeMeHateYouInOnePhrase,7.880138057794806e+17
ItsRiskyTo,8.242895952611287e+17
SummerAMovie,8.782057342189404e+17
imwithher,7.621104291748864e+17
ChelseaNYC,7.77572769059967e+17
MerkelMussBleiben,7.561286182716662e+17
money,6.00070016692695e+17
television,5.691650202583818e+17
AddCartoonsToHistory,8.92699220624511e+17
Inauguration,8.209666481359749e+17
IslamKills,7.123550302428938e+17
SongContest,7.941099513377546e+17
Politics,7.817171408102359e+17
Hastert,6.044251370357105e+17
PorMiCulpa,7.169136629302108e+17
ThingsThatDisturbMe,7.931007535482839e+17
TrumpAHorrorMovie,7.910214475735409e+17
AddASongRuinAMovie,8.060493937407468e+17
breaking,8.091878449547469e+17
STOPIslam,7.123562413901128e+17
sheeples,7.729148930034688e+17
black,7.729148930034688e+17
internship,7.729148930034688e+17
GOP,7.729148930034688e+17
2016ElectionIn3Words,7.956545857549148e+17
Hillary2016,6.044404732062925e+17
DrainTheSwamp,7.920915867923948e+17
SignsYouAreAmerican,7.347403081356943e+17
PrimaryDay,7.097505693474898e+17
CCOT,6.955738334499226e+17
Periscope,7.961756982432891e+17
IslamKills,7.123430289298309e+17
Politics,7.605089425731174e+17
WOW,7.860800399683092e+17
Fireworks,6.174899458806006e+17
RejectedUsesForCandyCorn,7.898090279454188e+17
Politics,7.604515322654433e+17
ObamaFarewell,8.19045734628606e+17
ToDoListBeforeChristmas,8.032650611542671e+17
TopNews,7.547513892097597e+17
Alaska,8.267286258567332e+17
EndTrafficking,8.212032647504404e+17
SurvivalGuideToThanksgiving,8.00747251073069e+17
MakeTVShowsCanadian,8.930572343721124e+17
AlternativeAcronymInterpretations,8.057867512687452e+17
DumpTheDems,8.299015312521953e+17
ThingsMoreTrustedThanHillary,7.805937396433838e+17
PhosphorusDisaster,5.75392631649407e+17
Politics,7.693770880002294e+17
BB4SP,6.806788856467087e+17
SundayMorning,7.775578705859256e+17
Trump,7.775578705859256e+17
NeverForget,7.775578705859256e+17
ALEC,7.8406491064909e+17
GOP,7.8406491064909e+17
Politics,7.623584295957299e+17
puremagic,5.60851669399765e+17
PearlHarborRemembranceDay,8.064680203611095e+17
IStand,8.144663460713144e+17
2016In4Words,8.141584261840527e+17
Pizzagate,8.276253646964695e+17
Hillary,7.944076563583672e+17
BirdDogging,7.944076563583672e+17
Politics,7.743492817758495e+17
blackjoy,7.597993581204193e+17
MuslimBan,8.25867379074818e+17
MakeAMovieCold,8.046583798262989e+17
CashinIn,7.619894225271767e+17
Politics,7.687796984111432e+17
Louisiana,7.66657245840941e+17
RuinADinnerInOnePhrase,7.836724962601329e+17
ISISwatchingyou,5.688187528520909e+17
Jeopardy,7.854802327783014e+17
BetterAlternativeToDebates,7.854802327783014e+17
IKeepWonderingIf,8.234370275301827e+17
2017SurvivalTips,8.159266507309056e+17
RT,6.973259191537295e+17
2017SurvivalTips,8.159367864510136e+17
Blacklivesmatter,6.974052805737923e+17
breaking,8.479272255004877e+17
PolicticalNews,7.793884566068593e+17
ConservativeNews,7.793884566068593e+17
MakeDCListen,7.772601278544036e+17
STOPIslam,7.772601278544036e+17
WakeUpAmerica,7.772601278544036e+17
RT,7.772601278544036e+17
StandUpForScience,8.104584937361531e+17
IGetDepressedWhen,7.710068563450348e+17
LockHerUp,7.59068589525758e+17
JunkieUS,5.724098502541107e+17
SecondhandGifts,8.116127197827072e+17
MerkelMussBleiben,7.560855288528855e+17
NeverHillary,7.856263537898373e+17
tcot,7.856263537898373e+17
NeverTrump,7.856263537898373e+17
CCOT,7.856263537898373e+17
news,6.04104709499048e+17
TheFirst100DaysToDoList,8.235355744013804e+17
BigBucksNoWhammies,7.727417793848279e+17
AngelaMerkel,6.745995201565737e+17
ChristmasAftermath,8.134001536883425e+17
Politics,7.7512027732369e+17
IHaveARightToKnow,7.811471179392041e+17
AddCartoonsToHistory,8.926983857021665e+17
TopVideo,7.935641165478011e+17
GrabEmByTheP,7.845853382956196e+17
PotusLastTweet,8.217420680746844e+17
Trump2k16,7.960535323277435e+17
JugendmitMerkel,7.641142203173683e+17
MakeAmericaGreatAgain,7.775208516882555e+17
DeFundDAPL,7.996110645559583e+17
noDAPL,7.996110645559583e+17
Obamacare,8.240326795490796e+17
SometimesItsOkTo,7.938541568049807e+17
IranDeal,6.210067378653512e+17
MakeMeHateYouInOnePhrase,7.880099611837809e+17
BetterAlternativeToDebates,7.85471530050392e+17
Storify,7.961620003300639e+17
IHaveARightToKnow,7.811402556468183e+17
ThingsYouCantIgnore,8.108781750645064e+17
AddABandToATVShow,8.260290159075779e+17
SecondhandGifts,8.115994401254973e+17
DrunkBands,8.245812391768883e+17
ConventionsToAvoid,8.158675099497595e+17
dncleak,7.770216117570847e+17
ToDoListBeforeChristmas,8.03264262202196e+17
RMCSuccessStory,7.867014138921574e+17
ItsMuchBetterTo,7.62718383829758e+17
IHaveARightToKnow,7.811582297073705e+17
TopVideo,6.102124549797929e+17
nba,6.044409157348639e+17
mappingpoliceviolence,8.046961661013197e+17
Blacklivesmatter,7.56338051119317e+17
ItsRiskyTo,8.242813710404198e+17
ChristmasAHorrorMovie,8.056788429543137e+17
ToDoListBeforeCh,8.032583347111895e+17
ImTooOldFor,7.905855347081257e+17
ReasonIAmNotASuperhero,5.869353969504133e+17
Obama,7.939720171542979e+17
GeorgeSoros,7.673910353705083e+17
RejectedDebateTopics,7.887667329199964e+17
Austin,7.682407255322173e+17
WhyTrumpCanceledRallies,7.682407255322173e+17
DrunkBands,8.245546352602931e+17
Politics,7.771793951653929e+17
WithHer,7.894723279940567e+17
SickHillary,7.682524378913505e+17
RealLifeMagicSpells,7.981792307312353e+17
Hannity,7.840544153638707e+17
TrumperTantrum,7.840544153638707e+17
wikileaks,7.942211633502904e+17
NeverTrump,7.768371079312916e+17
MakeMeHateYouInOnePhrase,7.880106318949335e+17
sp,8.150845713939251e+17
AddCartoonsToHistory,8.92696236117119e+17
RealLifeMagicSpells,7.981942761945825e+17
VulnerabilityIn5Words,8.057466145182884e+17
Trump2016,7.905421100636037e+17
RollHounds,6.903180179143393e+17
MerkelMussBleiben,7.560695736616878e+17
PSX16,8.022218168569979e+17
Sandtown,7.84137616539222e+17
Thursdaythoughts,7.84137616539222e+17
HillarysAccomplishments,7.84137616539222e+17
Michigan,7.84137616539222e+17
Ohio,7.84137616539222e+17
Pennsylvania,7.84137616539222e+17
NJ,7.84137616539222e+17
EricChurch,5.611131471807324e+17
SignsAtTheGatesOfHell,7.92584878042837e+17
IdRunForPresidentIf,8.065290739420692e+17
Trump,7.742638802560696e+17
maga,7.742638802560696e+17
boardofsupervisors,8.111383925871411e+17
gagop,5.932763774758461e+17
TrumpPence2016,7.947866900324229e+17
tcot,7.947866900324229e+17
p2,7.947866900324229e+17
TheOlderWeGet,7.651990100219003e+17
nowplaying,8.529633397267128e+17
TheFirst100DaysToDoList,8.235400314281861e+17
tc,6.054783522842173e+17
SometimesItsOkTo,7.938250041903063e+17
p2,7.841352826186629e+17
tcot,7.841352826186629e+17
UniteBlue,7.841352826186629e+17
yallneedtopayfortheselessons,7.681011042235638e+17
TedCruzLies,6.998864316997755e+17
ICE,8.304846137977078e+17
MaddowClownDisease,8.419862559781724e+17
ImWitHer,7.927077263297331e+17
Obama,8.142015027137372e+17
NewMusic,8.010640460909732e+17
AmericaFirst,7.874970610631393e+17
WomenWhoVoteTrump,7.874970610631393e+17
IslamKills,7.123518297077228e+17
news,7.603729174986342e+17
breaking,7.717614727373373e+17
LakersNation,5.545691318578258e+17
My4WordNewYearsResolution,8.115774601857761e+17
STOPIslam,7.123581418040812e+17
TopVideo,7.712836518918595e+17
SextingWentWrongWhen,7.702632106834084e+17
GOPDebate,6.769523052966707e+17
news,5.990306512080937e+17
IGetDepressedWhen,7.710165161332818e+17
ObamasWishList,7.612033563837153e+17
BadJudgmentIn5Words,7.772231276716974e+17
CaribbeanTwitterTheBestTwitter,8.494876175236874e+17
IHaveARightToKnow,7.811651479853711e+17
FreeMartyG,8.161207390866964e+17
IHaveADreamThat,8.209974261862564e+17
CCOT,7.774999812090798e+17
Newsmax,6.272743346885755e+17
CrookedHillary,7.769782769631887e+17
HRCOriginalBirther,7.769782769631887e+17
ToDoListBeforeChristmas,8.032641016611553e+17
MakeAmericaGreatAgain,7.560387197825556e+17
TrumpPence16,7.560387197825556e+17
RNCinCLE,7.560387197825556e+17
OneLetterOffSports,7.741661055269847e+17
TrumpAHorrorMovie,7.91008131711062e+17
PodestaEmails,7.91008131711062e+17
EndpoliceBrutality,6.311321843515228e+17
Ukraine,5.932740745513329e+17
FollowFriday,8.442556872030126e+17
thanks,8.448467673004974e+17
GodBlessTheUSA,8.227278014973542e+17
GovRickSynder,7.662180958746993e+17
RickSnyder,7.662180958746993e+17
GOP,7.662180958746993e+17
GOPEvil,7.662180958746993e+17
tcot,7.662180958746993e+17
Michigan,7.662180958746993e+17
MerkelMussBleiben,7.561131532353208e+17
news,7.782706104052326e+17
world,7.782706104052326e+17
ReasonsToProtest,8.260852998476227e+17
DemnDebate,6.657134437065728e+17
Politics,7.602523798244352e+17
tcot,7.775009821797581e+17
CCOT,7.775009821797581e+17
GOP,7.775009821797581e+17
maga,7.775009821797581e+17
TrumpTrain,7.775009821797581e+17
TrumpPence16,7.775009821797581e+17
Trump,7.775009821797581e+17
IslamKills,7.123479317021082e+17
RINOs,7.778857379455345e+17
Liberal,7.778857379455345e+17
HRCOriginalBirther,7.76918433149485e+17
birtherism,7.76918433149485e+17
CrookedHillary,7.678737798884311e+17
HillaryEmails,7.678737798884311e+17
2016In4Words,8.141387720865219e+17
NeverHillary,7.70690554770391e+17
ThingsICanNeverResist,7.584451377563197e+17
SinglePayerSunday,7.850736182334628e+17
ImTooOldFor,7.905532994350244e+17
BLM,7.713168876952084e+17
thelastthingineedis,8.067215175391027e+17
AddFamilyRuinASong,8.897864347265024e+17
Kadzik,7.94766252996776e+17
poll,8.471253522919383e+17
ThanksObama,8.224750563705569e+17
GOT,7.578514352748626e+17
breaking,5.909912703754813e+17
TheFirst100DaysToDoList,8.235392676327629e+17
MakeMeHateYouInOnePhrase,7.880063974515917e+17
ReasonsIAintInARelationship,8.23530371648254e+17
Temple,7.780316234052731e+17
Liberalprivilege,7.863734081077985e+17
ProblematicKidsShows,8.579608006522061e+17
ThingsPeopleOnTwitterLike,7.960888789607055e+17
IHaveARightToKnow,7.81159444562391e+17
NYTimes,8.020401927187661e+17
My2017Resolution,8.083171063706092e+17
Prolife,8.395265387522417e+17
IHaveARightToKnow,7.811443657334129e+17
HillaryForPrison2016,7.128449186961818e+17
news,7.75694714200744e+17
GunControl,6.724550116291789e+17
Reweet,7.930237363456e+17
2016WillGoDown,8.134028588927222e+17
kendrickJohnson,8.065270027695882e+17
Support,8.148025851315814e+17
2016In4Words,8.141449885274235e+17
maga,7.840898219123917e+17
fifamobile2017,8.183659050507264e+17
FoxNews,7.607863173745459e+17
tcot,7.607863173745459e+17
Haiti,7.84313832487256e+17
haitiMatthew,7.84313832487256e+17
NeverHillary,7.84313832487256e+17
ElectionFinalThoughts,7.95618895533142e+17
DNCLeaks2,7.95618895533142e+17
ThingsMoreTrustedThanHillary,7.805993664070984e+17
Trump,7.962776825141944e+17
ChristmasAftermath,8.13396528236757e+17
WantedWednesday,8.219960226333e+17
JudgeRobart,8.277952011461059e+17
